code,label,label_p
100,Continue,(Continue)
101,Switching Protocols,(Switching Protocols)
102,Processing,(Processing)
103,Early Hints,(Early Hints)
200,OK,(OK)
201,Created,(Created)
202,Accepted,(Accepted)
203,Non-Authoritative Information,(Non-Authoritative Information)
204,No Content,(No Content)
205,Reset Content,(Reset Content)
206,Partial Content,(Partial Content)
207,Multi-Status,(Multi-Status)
208,Already Reported,(Already Reported)
226,IM Used,(IM Used)
300,Multiple Choices,(Multiple Choices)
301,Moved Permanently,(Moved Permanently)
302,Found,(Found)
303,See Other,(See Other)
304,Not Modified,(Not Modified)
305,Use Proxy,(Use Proxy)
306,Switch Proxy,(Switch Proxy)
307,Temporary Redirect,(Temporary Redirect)
308,Permanent Redirect,(Permanent Redirect)
400,Bad Request,(Bad Request)
401,Unauthorized,(Unauthorized)
402,Payment Required,(Payment Required)
403,Forbidden,(Forbidden)
404,Not Found,(Not Found)
405,Method Not Allowed,(Method Not Allowed)
406,Not Acceptable,(Not Acceptable)
407,Proxy Authentication Required,(Proxy Authentication Required)
408,Request Timeout,(Request Timeout)
409,Conflict,(Conflict)
410,Gone,(Gone)
411,Length Required,(Length Required)
412,Precondition Failed,(Precondition Failed)
413,Payload Too Large,(Payload Too Large)
414,Request URI Too Long,(Request URI Too Long)
415,Unsupported Media Type,(Unsupported Media Type)
416,Requested Range Not Satisfiable,(Requested Range Not Satisfiable)
417,Expectation Failed,(Expectation Failed)
418,I'm a teapot,(I'm a teapot)
421,Misdirected Request,(Misdirected Request)
422,Unprocessable Entity,(Unprocessable Entity)
423,Locked,(Locked)
424,Failed Dependency,(Failed Dependency)
425,Too Early,(Too Early)
426,Upgrade Required,(Upgrade Required)
428,Precondition Required,(Precondition Required)
429,Too Many Requests,(Too Many Requests)
431,Request Header Fields Too Large,(Request Header Fields Too Large)
451,Unavailable for Legal Reasons,(Unavailable for Legal Reasons)
500,Internal Server Error,(Internal Server Error)
501,Not Implemented,(Not Implemented)
502,Bad Gateway,(Bad Gateway)
503,Service Unavailable,(Service Unavailable)
504,Gateway Timeout,(Gateway Timeout)
505,HTTP Version Not Supported,(HTTP Version Not Supported)
506,Variant Also Negotiates,(Variant Also Negotiates)
507,Insufficient Storage,(Insufficient Storage)
508,Loop Detected,(Loop Detected)
509,Bandwidth Limit Exceeded,(Bandwidth Limit Exceeded)
510,Not Extended,(Not Extended)
511,Network Authentication Required,(Network Authentication Required)